date,time,total_cases,age_median,age_min,age_max,age_0_to_17,age_18_to_44,age_45_to_64,age_65_to_74,age_75_and_over,age_unknown,age_50_and_over,age_under_50,sex_female,sex_male,sex_unknown,borough_bronx,borough_brooklyn,borough_manhattan,borough_queens,borough_staten_island,borough_unknown,deaths
2020-03-23,09:35,12339,45,0,105,323,5704,4069,1308,930,5,5237,7097,5255,7067,17,1829,3494,2572,3621,817,6,99
2020-03-23,17:00,13119,45,0,105,341,6035,4343,1402,988,10,5596,7513,5612,7490,17,1999,3742,2646,3848,877,7,125
2020-03-24,09:45,14776,45,0,105,374,6786,4906,1591,1109,10,6341,8425,6374,8379,23,2328,4237,2887,4364,953,7,131
2020-03-24,17:00,15597,46,0,105,384,7094,5194,1689,1227,9,6787,8801,6736,8838,23,2505,4407,3013,4667,999,6,192
2020-03-25,17:30,20011,46,0,105,446,8880,6786,2226,1633,40,8920,11051,8655,11325,31,3542,5232,3616,6420,1166,35,280
2020-03-26,17:00,23112,47,0,105,495,10145,7869,2627,1935,41,10452,12619,10124,12948,40,4243,6095,4046,7362,1330,36,365
2020-03-27,16:00,26697,47,0,105,543,11617,9158,3034,2286,59,12209,14429,11792,14863,42,4880,7091,4627,8529,1534,36,450
2020-03-28,16:00,30765,48,0,105,591,13213,10596,3571,2724,70,14279,16416,13592,17133,40,5752,8129,5237,9831,1781,35,672
2020-03-29,16:15,33474,48,0,105,619,14233,11577,3954,3020,71,15706,17697,14837,18593,44,6250,8887,5582,10737,1984,34,776
2020-03-30,16:30,38087,48,0,105,714,16028,13344,4496,3410,95,17958,20034,16920,21120,47,6925,10171,6060,12756,2140,35,914
