date,time,total_tests,total_cases,total_hospitalizations,total_deaths
2020-03-17,18:00,NA,923,NA,10
2020-03-18,17:30,NA,2009,NA,19
2020-03-19,17:30,NA,3954,NA,26
2020-03-20,17:30,NA,5683,NA,43
2020-03-21,17:30,NA,8115,NA,60
2020-03-22,17:30,NA,10764,NA,99
2020-03-23,17:00,NA,13119,NA,125
2020-03-24,17:00,NA,15597,2883,192
2020-03-25,17:30,NA,20011,3922,280
2020-03-26,17:00,51404,23112,4720,365
2020-03-27,16:00,NA,26697,5039,450
2020-03-28,16:00,NA,30765,6287,672
2020-03-29,16:15,63752,33474,7410,776
2020-03-30,16:30,70857,38087,7741,914
2020-03-31,16:30,NA,41771,8549,1096
2020-04-01,16:30,NA,45707,9775,1374
2020-04-02,16:30,87414,49707,10590,1562
2020-04-03,16:30,97409,56289,11739,1867
2020-04-04,17:00,NA,60850,12716,2254
2020-04-05,16:45,NA,64955,14205,2472
2020-04-06,17:30,NA,68776,15333,2738
2020-04-07,16:45,127788,74601,19177,3544
