update_date,update_time,nyc_residents_tested_positive,non-nyc_residents_tested_positive,total_tested_positive
2020-03-01,NA,1,0,1
2020-03-02,NA,1,0,1
2020-03-03,12:00,1,1,2
2020-03-04,11:00,1,1,2
2020-03-05,10:30,3,1,4
2020-03-06,12:00,4,1,5
2020-03-07,17:30,11,1,12
2020-03-08,14:30,12,1,13
2020-03-09,10:30,15,1,16
2020-03-10,9:30,24,1,25
2020-03-11,16:00,NA,NA,53
2020-03-12,16:00,95,NA,NA
2020-03-13,14:00,154,NA,NA
2020-03-14,13:30,183,NA,NA
2020-03-15,18:00,329,NA,NA
2020-03-16,11:30,463,NA,NA
2020-03-17,14:30,814,NA,NA
